"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"POL","AVWAGE","TOT","USD","A","2013",23668.8068490314,
"POL","AVWAGE","TOT","USD","A","2014",24150.7821003733,
"POL","AVWAGE","TOT","USD","A","2015",24680.0727838435,
"POL","AVWAGE","TOT","USD","A","2016",25878.9078035933,
"POL","AVWAGE","TOT","USD","A","2017",27046.0965519544,
"PRT","AVWAGE","TOT","USD","A","2013",25668.1580696662,
"PRT","AVWAGE","TOT","USD","A","2014",25216.9176245415,
"PRT","AVWAGE","TOT","USD","A","2015",25164.4538074836,
"PRT","AVWAGE","TOT","USD","A","2016",25362.3486242956,
"PRT","AVWAGE","TOT","USD","A","2017",25366.5016777539,
"SVK","AVWAGE","TOT","USD","A","2013",21781.5919924479,
"SVK","AVWAGE","TOT","USD","A","2014",22204.1224095907,
"SVK","AVWAGE","TOT","USD","A","2015",23025.8893546157,
"SVK","AVWAGE","TOT","USD","A","2016",23800.8915746605,
"SVK","AVWAGE","TOT","USD","A","2017",24327.9817571446,
"ESP","AVWAGE","TOT","USD","A","2013",38415.6997772412,
"ESP","AVWAGE","TOT","USD","A","2014",38422.0115045553,
"ESP","AVWAGE","TOT","USD","A","2015",39338.9353619615,
"ESP","AVWAGE","TOT","USD","A","2016",39196.0989726629,
"ESP","AVWAGE","TOT","USD","A","2017",38507.4944144873,
"SWE","AVWAGE","TOT","USD","A","2013",40366.1406882961,
"SWE","AVWAGE","TOT","USD","A","2014",40777.796931324,
"SWE","AVWAGE","TOT","USD","A","2015",41467.0510335515,
"SWE","AVWAGE","TOT","USD","A","2016",42154.4897851354,
"SWE","AVWAGE","TOT","USD","A","2017",42392.7553925393,
"CHE","AVWAGE","TOT","USD","A","2013",62516.0528153685,
"CHE","AVWAGE","TOT","USD","A","2014",62616.2171513568,
"CHE","AVWAGE","TOT","USD","A","2015",62495.2828450202,
"CHE","AVWAGE","TOT","USD","A","2016",62369.7478854347,
"CHE","AVWAGE","TOT","USD","A","2017",62282.5688602117,
"GBR","AVWAGE","TOT","USD","A","2013",43153.9886368667,
"GBR","AVWAGE","TOT","USD","A","2014",42781.9138848303,
"GBR","AVWAGE","TOT","USD","A","2015",43152.1720562389,
"GBR","AVWAGE","TOT","USD","A","2016",43712.6196635994,
"GBR","AVWAGE","TOT","USD","A","2017",43731.542692694,
"USA","AVWAGE","TOT","USD","A","2013",58411.6324256051,
"USA","AVWAGE","TOT","USD","A","2014",59249.9229499367,
"USA","AVWAGE","TOT","USD","A","2015",60691.6617126804,
"USA","AVWAGE","TOT","USD","A","2016",60685.8079109297,
"USA","AVWAGE","TOT","USD","A","2017",60558.3581202393,
"EST","AVWAGE","TOT","USD","A","2013",20823.7751549607,
"EST","AVWAGE","TOT","USD","A","2014",21970.6710567653,
"EST","AVWAGE","TOT","USD","A","2015",22839.678852084,
"EST","AVWAGE","TOT","USD","A","2016",23935.4331284194,
"EST","AVWAGE","TOT","USD","A","2017",24335.9751038841,
"ISR","AVWAGE","TOT","USD","A","2013",32022.2226642085,
"ISR","AVWAGE","TOT","USD","A","2014",32015.8632182023,
